"qseqid","subject.titles","Previous.ID"
"S12-0061","Pseudomonas avellanae (T); PD 2378; HF558391","0919A-M-D20-APC-4"
"S12-0063","Pseudomonas corrugata (T); ATCC29736; D84012","0919A-M-D20-GN-1"
"S12-0067","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-E-D20-APC-4"
"S12-0069","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-E-D20-GN-2"
"S12-0071","Pseudomonas brenneri (T); CFML 97-391T; AF268968","0919A-E-D20-PC-2"
"S12-0074","Pseudomonas lini (T); CFBP 5737; AY035996","0919A-E-D20-BHI48-6"
"S12-0075","Pseudomonas brassicacearum (T); CIP 109457; EU391388","0919A-B-D20-BHI48-8"
"S12-0077","Pseudomonas lini (T); CFBP 5737; AY035996","0919A-B-D20-BHI48-6"
"S12-0080","Pseudomonas poae (T); type strain: DSM 14936 = LMG 21465; P 527/13; AJ492829","0919A-E-D4-PC-3"
"S12-0085","Pseudomonas jessenii (T); CIP 105274; AF068259","0919A-E-D10-GN-4"
"S12-0087","Pseudomonas baetica (T); a390; FM201274","0919A-B-D20-GN-3"
"S12-0093","Micrococcus yunnanensis (T); YIM 65004; FJ214355","0919A-E-D10-PC-4"
